county fair	second place ribbon	in an empty stall
our song...	it turns out	i misheard the lyrics
new year's morning	the bedroom radiator	begins to bang
rooftop prayers	breaking the sound barrier	a blue angel
fish restaurant	after the priest's blessing	cold snapper
crosswalk	a bickering couple	against the light
trees thick with leaves	on the squirrel-proof feeder	supersquirrel!
removing	her sweater	sparks fly
divorce papers:	your, mine,	and now ours
wildfire	the thermometer climbs	all night
morning rain	an egg for my father	spreads in the skillet
pear slice falling	to the kitchen floor	pale moonlight
snapdragons	hearing the sound of	mother's sandals
childhood home	my concrete footprints	go nowhere
cloudless sky	she cranks up	the big white umbrellas
open-air t'ai chi	the occasional clearing	of a raven's throat
second heart attack	he's careful now	hiding the polish sausage
moving day	again, i pack the china	we never use
nude beach	the crowd around	the dead whale
almost dawn	cupped in the curve of the moon	the rest of the moon
autumn begins	leaves follow me	into the shed
squash blossom	just enough dew	to cool my face
cruising osprey	how easily she slips	into dusk
chimney smoke	moonlight changing directions	with the wind
summer veranda	low night voices slip into	rocking chair rhythms
piano lesson...	her braids outdo	the metronome
zen monk	adjusting the mike	on his robes
the rabbi rides	a three-wheeled motorcycle	signed 'the kosher hog'
for her solo	the flautist's nipples	stand up
blackbirds in the cattails	i stand quietly	with the mallards
fallow field	i harvest a fistful	of oxeye daisies
high meadow	opening myself	to the mountain's face
flowing past	the redwoods	the river
river stones	along her garden path	wet with dew
spring morning...	on a busy street two men	comparing tattoos
moonrise...	screams from the roller coaster	no longer seem near
child's kiss	swirling snow	melting as it lands
cleaning everything	out of the old cabin i reach	for a mote of light
stifled laugh:	a november wasp	rousing itself
lunch date	carbonation keeps lifting	his straw
his warm hand	in mine	the primrose path
sake	even in my microwaved cup	a taste of the ancients
moving day	a dove-call settles	in the chimney
spring melt	the flat-bed leaks	on the uphills
morning twilight...	horse asleep in the pasture	covered with frost
along the trail	trading one walking stick	for another
back country	in the folds of my topo map	the rise and fall of mountains
bifocals	the double pleasure	of seeing you again
another year	stripping down for her	sweet corn
marble hallway	the child's scream	longer than her scream
he locks down	the roller coaster	toothless grin
flight out of vegas	arms crossed	six across
whistle stop...	on and off the train	a butterfly
nets in place	the fishing boat	becomes the fog
snow so deep	only the red flag	of the mail box
foggy morning	staring into the rosy depths	of hibiscus tea
morning mist	a workman whistles	no particular tune
almost visible	an owl on the verge	of night
sifting pebbles	my fingers pause to read	the broken one
her mind going	great-grandma's slippers	in her purse
senryu poet	all those tight little lines	around her mouth
his side of it.	her side of it.	winter silence
the new employee	being shown around	crack in the wall
alpine bus ride	the wildflowers	almost distract me
downpour over paris	everywhere	french puddles
white sail...	whiter still,	under my shading hand
after lovemaking	the clouds pull slowly	apart
a cicada rasps again	and again the baby	shakes her rattle
mountain fog	below the rope bridge	nothingness
zen dining hall	hand after hand waving	the fly away
frosty morning	the lifelss tracery	of a lacewing
giving away	her baby crib...	teeth marks on every bar
broken clock	from the goodwill bag	the sound of ticking
going under anesthetic	one foot keeping time	to the o.r. jazz
observation tower	my grandson watching his spit	fall
sweat lodge	my only vision	is of the cool river
family meeting	our neighbors	shut their windows
last trace	of the birth steam in the meadow	the morning star
early morning fog	in the cereal bowl	the spoon clinks
off chemotherapy	one by one, great egrets depart	the marsh willow
proposing...	the weightlifter's adam's apple	goes up & down
the men's room	with piped-in light rock	one by one we dance
quaker meeting	through the open door the sound	of a small boy's wee
beneath the green bay tree	a broken shell	a broken song...
the winter sun...low,	lower at each stroke of	this weathered mattock
snowbound...	the stained glass robin's	song
tv tennis,	all the players	on the sofa
alone               not caring	passing wind near the pig farm
one more ride	with the top down	winter stars
nursing home front porch	in sync out of sync in sync	three old men rocking
the visible edges	of the layered earth	where the stream splits it
above the whitewater	listening to both forks	the gorge at twilight.
pachelbel's canon	the harpist plucks	something in me
summer's end	jays find the cold campfire	the cold potato
my self	monopolizes	me
calling home	my recorded voice tells me	i can't talk now
loft apartment:	artist's nude model	waves to window washer
snowman	in the parking lot	anatomically correct
tight-fit of her jacket	and one button	hanging-by-a-thread
leaving the o.r.	the brain surgeon's hairpiece	askew.
first frost	one puddle frozen	the size of my skate
winter rain	walking on ice	the way it wants to be walked on
bitter dawn	stray cat licks the frost	off fallen leaves
out of the lake	the weight of a butterfly	on my finger
autumn	an old man hurling apples	at apples on the tree
winter wind	after the dog is buried	scratches on the door
measuring the curves	in a child's hand	the wooly bear
not until the fog	did the garden sprout	silver webs
the way the breeze	ruffles his fur	dead cat
noon day sun	old elephant	stands on its shadow
rust speckles the new saw	left by the carpenter	under the stars
acorn rain...	cloud of wings beating	the first day of school
the bottom team	en route to the ballfield	lost again
mexican jumping beans	i thought they were	my vitamins!
instant	tea ceremony	in the bag
at dusk a small witch	offers a homeless man	her bag of treats
from over or under	toilet paper end	always hiding
daywake	the chirping	car alarms
art class:	nude model	slippery chalk
oversleeping	her doctor's appointment	in her dreams
there's something about it	the way a dog barks	at the scarecrow
the circle	of the winging hawk now	tightening to a dot
after-lunch siesta	nothing to break the silence	but the refried beans
charcoal	drawing the tree	it was
monks	chanting	only	at	first	are	they	still	temple	frogs
night cat	pulls its shadow	along the picket fence
winter solstice	the waterfall frozen	in mid-air
the cicada	sawing itself	in two.
the chill	ants in the flesh	of the fallen pear
fifty years later	once giggling teens avidly	comparing their ills
just as in childhood	before closing dad's coffin	a kiss not returned
at his favorite deli	the bald man finds a hair	in his soup
furious	only a b+	on his paper on hubris
summer twilight	a woman's song	mingles with the bath water
with the slow blue silence	the ice fisherman	waits
lightning	the doll's	pale face
high in the cherry tree	a boy singing	with his mouth full
one month	after her death	he still smokes outside
retirement home:	laundry sign  "no dying	in these tubs."
cold march winds:	hours in line	at the tax office
bridal shower...	finding the male stripper	the best man
forgiving him	again	again    the chill
class reunion	no talk of how young we look	...like last time
divorce papers	she puts a new battery	in her clock
the curandera	lights a candle to the virgin	before mixing the herbs
blank windows next door	surprised to miss the neighbor	i didn't like.
she speaks of her pain all of the windows up
under the "ripe" sign	at the fruit market	my nine-month belly
wearing dark glasses,	my friend visits	the psychic.
meeting an old friend	both of us trying not	to wear our glasses
wavering	above the pear juice	chopsticks
well-dressed matron	her delight on finding	the heads-up penny
in the eye	of the cardboard politician	seagull shit
daddy longlegs	evenings return	to lamplight
the bell-ringers pause	hares race the wind	across the hill
sunlight & dust	the rolling colts socks	kicked into air
shoulder blade	of the aged pony	a rivulet of rain
beyond windsong in the poplars cuckoo of the longest day
prints in the snow the same pace as yesterday
departing geese	i am no longer	someones child
darkening the shade	between touching apples	the shadow of a wren
a nestful of feathers	and tiny skulls 	clouds without rain
billowing snow:	the lamb quiet	beneath my coat
the moons apostrophe	everything i know	learned from books
the long day ends leaning on a hazel crook
autumn sun the old dog rolls in the dust of the lane
faintly to the pleiades robin song
storm clouds ...	a sea eagles shadow	sweeps the treetops
the war off again	a higgledy-piggledy pile	of pistachio shells
spring rain	i slip another iou	into his piggy bank
breeze-tousled ivy	the crook where the owl settles	softened by snow
rain-soaked fell	out of the snow come the fleece	and bones
a dusting of snow light on the apple skins
fast-moving storm	the flagman's world	slow and stop
sundown a red dust settles behind the plough
the geese still	on the far end of the wind	the silent marsh
weekend over	rattle of a plastic soldier	in my guitar
the weight	of a portable radio	summer night
yellow but cold	light	in the river-mist
a stoat arcs into undergrowth thin winter moon
spring rain	i've upset	the little stack of coins
evening star	a patterning	of bats
the newborn's hand	brushes my breast	white camellias
the cries of lapwings	in the darkness	halo of the moon
caf breeze the beaded curtain's quiet chatter
in the dark	i cradle snow	on my tongue
the river high	the toll-keeper's chickens	lose half their run
estuary mud	bleached in moonlight	boat bones
slow day	the ant keeps returning	to stanza one
night birth a lamb shakes fluids into the sleet
winter solitude	the garden trellis leans	on a cloud
cumulonimbus	barn swallows	skitter through the sailboats
adari pool	a noon gecko tracks	the mosque shade
summer storm	galahs swivel on wires	to wash their wings
white spots	on a brown butterfly's wing	the baby's toes wave
high above the clouds	checking out each passenger	a stowaway fly
in the plastic cover	of a missing person notice	two snails feast
above the flood plain	a double rainbow...	promises  promises
noonday heat	the pony holds a mouthful	of mountain stream
moonlight jaunt	silver water sliding down	an otter's whiskers
this wide sky	in the grass	a thrush's broken egg
coal miner's cortege	above his valley	the slow storm clouds
out of bleakness in their hundreds the pink-footed geese
afterglow	a taste of vine	in the tomato
how still the morning	watching a cormorant	watching the water
thin winds...	in the empty barn	a well-honed scythe
our shadows holding hands the width of the stubble field
naming the boulders	my grandson asks	about divorce
november beach...	the lone surf caster's thrust	and parry
first snow	the pencil lady's eyes	catch mine
scattered clouds;	lives not mine	walk the window ledge
now and again	through wind-flattened grasses   the tips	of the hare's ears
clouded light...	ripple crests edge	the egret's tail
eventide: salmon nets	strung across an estuary, the bent backs	of fishermen
a sudden storm	closing my eyes	i lean on the wind
grey spring morning...	just one car in the road	dotted with blossom
sun breaking	through storm clouds	gorse amongst the heather
sheep in the churchyard	on the last day of summer	more rain from the west
rushing shallows	a blackcap warbles	his short song
storm break	all of the angles	in the martin's flight
leaf fall	the undoing	done
zephyr	she whispers	it's me
dusk coming down	the drift of dry leaves	against my shoes
among the splashes	a toy bucket of ocean	dumped back in
moving day	in the shade of new leaves	the old things
for a moment	the sandwich maker	loses his rhythm
losing the dispute	she listens	to grasshoppers
these yellow hills	i let the cow	lick my palm
phone	she dries herself	more slowly
miles inland	the sound of the ocean	in the poplars
easter sunday	a snail's empty shell	on my doorstep
4th of july	a young couple argue	in sign language
first hot day	removing a kiwi	from its jacket
outdoor concert	the toddler asleep	kicking stars
tngrs	bhnd the bk shds	txtg
all these stars	she ties another knot	in her embroidery
the small boy	strikes the blind man's stick	with his plastic sword
fireflies	the space between	stars
sky	too blue	to trust
the whole moon	caught for a moment	in the blackberry
summer's end	a boy skips a stone	to the other side
the flat ends	of a new pencil	first day of school
sudden rain	a flock of sanderling	rise at the breaking wave
starless night	the first bite	of black bread
sultry night	the smell of jasmine	and old oranges
mosquito wing	on the white pebble	a spectrum
mist shrouded river	the faint line	of oyster beds
first snow	candles light	our canned soup dinner
river crossing in autumn	how the rocks now	stand out
brink-of-war news	draped over my shins	this anchoring child
tiny headstone	a pinwheel turns	the wind
ice cream van	i still want to	run outside
third day of rain	her stance	softens
slack tide...	we both reach	for the same skipping stone
the scent of snow	a workman pulls a leaf	from fresh cement
lightning bugs...	the baby's lashes flutter	against my cheek
spring rain scent	a puppy tumbling	at my heels
grandma's album	over the pressed sunflower	a small hand hovers
he speaks of you	and for a moment	it is you
floating mist	she gathers goose eggs	in a porcelain bowl
in my dream	i am accepted	as a crow
crossroad shrine	a bevy of quail running	beneath the briars
haiga workshop	in the downstroke of the brush	the sound of rain
beyond the fallen acorns	the ruin's gate	slightly open
october sun	a warm greenhouse tomato	settles in the palm
house clearance	in the heart shaped locket	a faded soldier
summer remains	playing on the patio	the fuchsia's shadow
last glimpse of her garden	all those old shadows	overlapping
another new moon	rises above the mountain	i need not climb
thru the wings	of a window moth	moonlight
notice of your death...	thinking of the many laughs	we had together
one tiny cloud	large enough	to blot out the moon
autumn chill	the house still creaks	in all the old places
old telescope	a giant spider	beyond orion
death day of my son	one thin cow	apart from the herd
parents' old home	still pencilled on the door frame	our childhood heights
those words	in her final letter	everywhere  craneflies
leaving home	taking a handful	of earth with me
banked fire	a sigh from the watchdog	asleep in my arms
tiredness	a floating feather settles	on the concrete
loner...	for a moment the sun's warmth	as he enters deep woods
early to bed	a wild winter night	in the downpipe
snowed in	this frothy cappuccino	too hot to drink
ripe guava fruit	its sharp scent pierced	by parrots' screeches
visiting her grave	everywhere the sounds	of nestlings
autumn afternoon	in fresh concrete	the pattern of a leaf
each time the train stops	a mother resumes	her lullaby
late snow	on kindergarten windows	paper daffodils
lost	in the pampas grass	geese shadows
night crossing	tijuana border guard	in sunglasses
small town	the same dream	as last night
half-empty cup	i decide ive had enough	of you
middle age	in the mirror	the turn toward it
wedding day	the time he takes	to knot the tie
stick figures	including one	i recognize
boy girl party	the slow speed	of the blender
life and death decisions	the need to feel	the satin lining
perfect storm the perfume not hers
phantom pain	the shape of her	in a stranger
death watch	she dies peacefully	in their sleep
rain gauge	the pastor talks	about grief
waiting room	a fly climbs the stairs	on an escher print
my third glass of wine	the mosquito	comes back for seconds
philosophy class	i talk myself	into a corner
old faithful	the crowd arrives	right on time
undressing the summer wind turns color
stirring my coffee	every which way	flamenco
a watermelon smile drips off the end of my elbows
trick-or-treat	a sailboat's name	reflects in the sea
martin luther king day	i readjust	my rear-view mirror
my skeleton	going for a walk	in the cemetery
mother's day	she puts me	on hold
final note	my g-string	too tight
wishbone	as we pull it apart	i change my mind
my blind date	disarming the alarm	she invites me in
graveside service	no one wants to leave	first
soothsayer	by appointment	only
the stylist	rinses away	the sound of her voice
their first thanksgiving	posing together	with the turkey
graduation day	in the gait of our son	your younger stride
kona wind	an ocean between me	and my worries
new bride	the squeak of her	sweet corn being shucked
old timers' game	seventh inning stretch	the creaking of knees
street corner memorial	my four-year old	asks for the balloon
busy italian restaurant	happy birthday	sung to the wrong table
tokyo vending machine	the long line	behind the foreigner
old palm reader...	my life line	her longest yet
engagement ring	he decides	it looks real enough
parade march	the old vet with canes	refuses to ride
first day of school	her brother's backpack	with legs
inviting aromas...	the hostess asks	will it just be me
our pilot hopes	to see us again real soon	the intercom clicks
candlelight dinner	she fingers the rose	to see if it's real
stale cookie	i give away	the fortune
wrong date	the thickening skin	on her latte
a new boyfriend	the same lingerie	enticing again
feeling the shape	of the wrapped gift	i put on a polite face
first date	the little pile	of anchovies
mistaking telephone	for doorbell	i let loneliness in
arguing	a deaf man grabs	the other's hands
crossing the hopscotch	two old women	avoid the lines
dentist's obituary	common interests	we could never talk about
as if it were spring	the green mold	on the cheese
psychic fair	she brushes some dirt	from the cards
centerfold:	the model's navel	off-center
day moon	a fresh tattoo rises	out of her jeans
independence day	i struggle to free myself	from a wet swim suit
fresh blueberries	a 'gothic' teenager	darkens her lips
switchbacks	five or six cub scouts	an octave higher
my father and i	paint the barn	compare wars
picnic	in the sun-dappled courtyard	my freckled banana
in the dream	my dog has a whistle	only i can hear
rodeo cowboy	hopefully clutching	a handful of sky
two-way glass	the patient waits inside	the therapist's reflection
rush hour	the blonde in the porsche peels	an orange
scar on her cheek	she gets her lipstick	just right
grocery shopping	his python tattoo	squeezes the charmin
on display:	her small and firm	opinion of men
conservatory,	the carnivorous plants	behind glass
grinding sausage meat	she recounts the times	her husband cheated
aftershock	the picture on the wall	straightens
in the middle	of making love	counting syllables
nudist camp	where to begin	with the sunblock
clothesline	the shirt shows off	its biceps
open mike night	the audience	goes dead
getting acquainted	i learn another name	for wild radish
divorced	she cleans the ring	around the tub
after lovemaking	returning	to ourselves
nest of black hair	secured with ball-point pens	office geisha
naked at the ironing board	concentrating	on a crease
round and round	debating	circumcision
freezing wind	the body builder pumps gas	in a muscle shirt
werewolf movie	at the commercial	letting the dog out
winter rain	holding the umbrella	over the dachshundpissing
birthmark removed	she saves up	for a blue tattoo
denver mcdonald's...	the specials on the window	paint out the mountain
late february	a statue of houdini	encased in ice
30-year reunion	he still	hits on her
snow buntings	his new bride	waits in the car
prostate exam	the doctor and i	trade jabs
nude ballet	the composer adds	extra notes
the clerk's lip ring	i forget	what i wanted
in the midway sun	corn on the cob customers	grinning ear to ear
school library	such quiet	books
at the fence	they sit on their tractors	talking hay
three surgeons	five nurses	wrong leg
full moon	i iron a wrinkle	into his pants
valentine's day	she reminds me	to fasten my seatbelt
before the guests arrive	i straighten	the straight cushions
a lull in her hands	the hairstylist asks	how i part my hair
in one room	everything she has	and a window
floating	in the dishwater	a pair of chopsticks
serious	she takes off her sunglasses	to speak english
nude beach	an empty bikini	turns me on
dropping valentine chocolates	he quickly swaps them	for another box
leaning back	in their chairs	old friends reunited
saving her best dishes	for a better day	my eighty year old mother
fireflies	my neighbor	has more
blowing out	one birthday candle:	the whole family
"just married"	the attendant	pumping too much gas
family reunion	everywhere i look	my old nose
identical twins	their hair neatly parted	on opposite sides
at the flea market	looking through books	i gave away
nightfall	the zookeeper	lets himself out
tourist town	postcards of the waterfall	racked upside down
carrying their canes	two old women lean	on each other
first date	in the parking lot	our car doors touch
parents coaxing	baby to eat	mouths wide open
handsome vendor	my name	on a grain of rice
driving lesson done	father and daughter run	fingers through their hair
naked	on the bathroom scales	stomach held in
reconciliation	the candle between us	sputters
his ashes scattered	what to do	with the box
nude beach	his enormous	sand castle
letting the dog out	letting the dog in	wrong dog
a gusting breeze	the comet wobbles	in my binoculars
long walk home	kicking a stone	for company
christmas day	the exchange	of custody
honeymoon trip	he refuses to stop	for directions
clicking off the late movie...	the couch cushion	reinflates
opening night...	missing the entrance	of the night blooming cereus
forgetting his underwear	the one with so many	frequent flier miles
summer concert	fanning myself faster	during the scherzo
overmatched boxer	his eyes closed	before the fight
yard sale:	she takes the baby crib	back into the house
his toe	answers mine	a truce begin
making sure	nothing grows	the rock gardener
too quick to reply	cutting my tongue	on the envelope
grandfather's funeral	cousin kate, air kissing,	spies a mirror, checks her makeup.
in a semi circle	retired sisters watch	"wheel of fortune"
dissatisfied	with her virgo horoscope	she tries pisces
first time	at the zoo my son	watches the people
antiquities room	the curator asks	"so what's new?"
meeting her boyfriend	our handshake	out of synch
from the holy land	he sends a postcard of cracks	two thousand years old
polaroid of her lover	coming clearer	with time
visitor's day	buttons just right	her dress inside out
blueberries	we show each other	our tongues
battered child	...kicking the swing	higher
a pause in the lecture	all at once three students	cross their legs
cropped grass	r =	the tethered goat
whacking the bat	with a broom, she says	they attack people
clear about	everything	the window washer
dining out	next to the window	her coat
late spring blossoms	the silhouette artist facing	another ponytail
balloon man	selling pins	for popping
on the same bus	the same strangers	as yesterday
new neighbor	eyeing the worn path	between our houses
a man swept by	in a wave rising, falling	sees us see him drown
fingering my tattoo	granddaughter asks	when she can have numbers
the words unspoken...	waiting for the toast	to pop up
drilling deeper	my dentist talks me into	amnesty international
methodical husband:	on his list of chores, she finds	her name
running down	fight illiteracy	the gang's red paint
drunken sailor	loses both shoes	tying one on
eating alone	my alphabet soup	speaks to me
lunch	with her lover's wife	leftovers
hole in the ozone	my bald spot...	sunburned
after kindling	his passion...	she lights his cigarette
nurse's station	above the heart monitors	a soap opera
how desirable	in the thrift show window	my old mag johng set
hopscotch	a one legged man	raises cane
young lawyer	his briefs	in the snow
in his mother's house	he walks into the cobweb	she underlooked
feel the warmth of	basho's frogpond	just xeroxed
behind shadow proof blinds	the calligrapher's	word processor
flies wait it out	under a cow's chin	spring shower
heartwood	the saw changes	its tune
snow field	the earth marked	by fallen angels
setting sun	an accordion squeezes	the night air
no moon	the click of stilettos	on cobblestones
flowing estuary	native languages	long gone
in the hot tub	my eyes on her floating breasts	hunters moon
rosebud unfolding	the seed packet left behind	in revelations
no escaping	this moonlight	pompeii
river mud	the shape	of boys
somewhere becoming rain becoming somewhere
desert twilight	a map with many creases	nailed to a cross
we huddle	over mother's open grave	lawless winter
a long bus ride	the prophetic language	of the stops
navajo moon	the coyote call	not a coyote
deleting words	from the eulogy	falling leaves
calla lily	the sound of a ladder	lengthening
tasting the well	in the water	summer stars
mother's day	the expiration date	on wildflower seeds
northern lights...	the scratchy play	of seventy-eights
a recurring escape from my father's dream
the big dipper	no matter where i stand	mountain sky
summer passing	the yard flamingo's	rusty legs
glint of sunlight:	the respirator carries on	alone
all souls day...	my name called	from the front gate
autumn	an empty booster seat	in the barber's window
hunter's cabin:	of the woods	not of it
end of the walk	returning the crow's feather	where i found it
cafe for sale	outdoor tables rusting	into autumn
day lilies	another death date added	to the family tree
the house finch	has a song for it,	morning after snow
crescent moon	a bone carver sings	to his ancestor
close enough to touch	i let the junco lead me	away from its nest
blowing leaves	tempt the old cat,	but not enough
ancient mountains...	runners clearing hurdles	on the practice field
thanksgiving	fifteen minutes	of mince pie
blossoms...	the baby's bare feet	pedal the air
butterfly	my attention	attention span
one moth	a thousand candles	light the darkness
trail's end	my pebble	settles the cairn
family reunion	some of the beached kelp	in knots
a jar of pennies	on the lemonade stand	evening cool
lightning...	the scarecrow's coat sleave	caught in mid-wave
summer's end	the hammock turned in	on itself
charcoal alley	children flick marbles	into the light
season of lights	the postman	leans to the wind
having no thought	we've come to see them	dogwoods in bloom
turning tide	placing intact clams	back in the water
mallard pair	he rocks	on her wake
filtering in	with the night air	a skunk's warning
stone in my pocket	the brook cuts deeper	into the mountain
a bee chose	the rose i meant to pluck...	empty vase
soba noodles...	the new year	slips in
hazy dusk...	no one bothered to plow	the graveyard road
child's wake	the weight	of rain
gunshot the length of the lake
a stick caught	on the lip of the dam	winter's end
summer stars...	the old violin goes	to the highest bidder
winter drags on...	i squeeze the last drops	from a teabag
distant thunder	a titmouse gives one chirp	and falls silent
alzheimer's birthday	each slice of the cake	takes part of her name
march winds	a decade has passd	by your grave
indian summer	a spent salmon	washes ashore
after the funeral	whiskers still	in his razor
the page-finders	of my father's daily missal	losing their colors
first buds of spring	i change the washer's setting	to delicate
among the gravestones	with names worn away	children play hide 'n seek
whalebone	from a beach near savoonga	winter rain
all saints morning	a path	of trodden leaves
cremated	in her favorite kimono	small green plums
spring rain	the gravedigger latches the door	of his backhoe
spring rain the cat's pink nipples
loon calls	my daughter drawing circles	near the fire
summer evening	from across the meadow	a call to supper
shivering on the roof	i rub my palms together	meteor shower
ocean breeze	a strand of seaweed	steadies the kite
autumn rose	even as i sketch the wind	more petals fall
humid july	from the stove the smell	of old fires
the wind of autumn	a homeless man warms himself	hand to mouth
broken easel	the front yard blue	with wildflowers
heat waves	the hitchhiker shifts her child	to the other hip
land's end	sand in each bite	of my apple
indian summer	a fish slips through	the gill net
her 18th birthday	for the first time she notices	my silences
spring sunshine	the climbing ivy	filled with sparrows
meteor shower	a gentle wave	wets our sandals
mountain hike	we drink from the beginning	of a great river
spring sun	high in his arms	the newborn is shown
snail	to know	its heart beats too
lethal injection	unable to shut	the blind dog's eyes
end of summer	the shape of his feet	in his sneakers
geronimo's grave	someone has left	plastic flowers
new in town	the scent	of unknown flowers
foghorns...	we lower a kayak	into the sound
catalog time	the garden begins	without a seed
new buterfly...	folded wings	lean into the wind
morning overcast	a few seeds still dangle	from the dandelion
break up	i leave behind	her butterfly net
walking home barefoot,	we enter the shadow	of the hill
autumn evening...	a page of the old book	separates from the spine
funeral procession...	snowflakes blowing	into the headlights
autumn evening	my hospital window	becomes a mirror
storm clouds	the cry of a shearwater	circles the sky
late into the night	we talk of revelations	moon through the pines
the kettle whistles...	a blur of garden color	on the window
winter beach	a piece of driftwood	charred at one end
riveredge old growth:	a towering window	of stars
i'm caught in it too	the blossom-loosening wind
over the railroad tracks	the slow motion	of a snake
the beetle i righted	flies straight into	a cobweb
leaf in my palm	its stem extends	my lifeline
about the tree	over my small son's grave	tell me
musty smell	forgotten...deep	into the text
that venus!	leading the cupped moon	through every turn of the road
"grabs" and "opens"	the fist	sowing seeds
the river	coming to it with nothing	in my hands
deep silence	the orphaned nestlings	this third morning
summer solstice	the long tips of lavender	bent by bees
snowbound	coloring inside	the lines
the dumproad pond	tadpoles exit	a birdhouse
still sun-warmed...	the pulled-out scarecrow	in my arms
changing the swallowtail	changed by it	the spring wind
letting the branch go	a shower of petals falls	on the old woman
toll booth lit for christmas	from my hand to hers	warm change
winter seclusion	tending all day	the small fire
on the path	only one of us	touched by a falling leaf
winter, bedtime	static flickers	through a white sleeve
warm river	up to our necks	in sunset
beneath the ice	the waterfall	still falling
old garden chair	sagging with the weight	of a single leaf.
after the stroke...	watching only the half of your face	that smiles
city window	mountains and pines	etched in frost
autumn deepens	an empty snail shell	explored by an ant
early morning sun	scattered on the table	several grains of salt
snowflakes	no one will miss	melt in her hand
bright leaves	blow through	her dream house
scattering his ashes	the moon	in bits and pieces
on the river	of many names, one cloud	floating
learning too late	he didn't like bubinga wood	sun strikes the urn
the war memorial	migrating butterflies	cover the names
falling leaves	the house comes	out of the wood
leaving you	fog on either side	of the white heron
below zero	all curled up in the woodpile	the skin of a snake
deep winter	the armload of firewood	chills the kitchen
mourning dove calls...	my elderly neighbor stills	the sound of her hoeing
august morning	a window washer wiping dust	from his sunglasses
snowmelt...	she enters	the earth on her knees
an old woolen sweater	taken yarn by yarn	from the snowbank
a white horse	drinks from the acequia	blossoming locust
sunlight shines red	through my father's thumb	on the steering wheel
two women crying	one giving birth	the other being born
approaching the family plot...	my furled umbrella	turns into a cane.
chernobyl victim	fingers pressing the plastic	to his wife's caress
cloud shadow	long enough to close	the poppies
the thick clang	of a cowbell	the sun deepens
roses	in the smaller room	more fragrant
ninety winters	spellbound	again
silent cathedral	stained-glass apostles	dimming with dusk
up the path	to touch that one oak	in last night's dream
dry leaves	the old archer	curves his eyebrow
soft rain	the new grave	looks old
morning sneeze	the guitar in the corner	resonates
dusk	a lone car going the same way	as the river
first days of summer...	already the leaves gather	beneath the sycamores
fall leaves the trees the winter sky
so many ways	within the waterfall	for water to fall
after the rain	on my vegetable patch	a new crop of stones
frozen in mud	by the vacant shanty:	lottery ticket
the potter's hands	gently shape the vase	out of himself
watermelon rind,	sitting in its own juice	the summer sun
figure drawing class	in the model's deepest shadows	a stark white string
ebb tide...	a little sea	in the shell
watching rain	pouring down...pouring down	just watching
abandoned store	large sign reading	we never close
a single strand	of spider silk	stops her
endlessly becoming,	clouds
mime	lifting	fog
taking time...	listening	to the grocery clerk
in the yukon	sleeping with one eye shut	the summer night
in soap bubbles	again and again	his face is broken
yard sale,	sunlight filling	mason jars
leaving home...	the smell of smoke	from old brick chimneys
frozen pond	white antlers rise	through the ice
june night	my mother alone with	her cancer
at dinner	biting into roast beef...	the butcher's thumb nail
phoning the neighbors	their real voices	through the open window
repeating the lecture	his eyes following	the window-cleaner's blade
tools rusting	unused on the work bench	a faucet dripping
full moon		peering into	the half-built house
dusk	drawing the pond's depth	to the surface
old woman, wrapping	her cat's gifts	centering the bows
on the way to work	a hot air balloon	up in the mist
this heat;	the dog's tail	the only breeze
light	up under the gull's wing:	sunrise
second husband	painting the fence	the same green
such coolness	the snail stretches	its neck
the one legged bird	that deep bend before	taking off
bird song	lost	in bird song
walking in on her	dead eyes reflecting	snowfall
in the sea	the fireworks	rising
bird feeder untouched...		alone again
circling each thigh	cool	of the night river
small child	afraid to throw away	his church bulletin
in utter stillness	the incense	changes direction
early spring sun	the spinster combs out her hair	for nesting birds
canyon:	at the very edge	riversound
out of its slipper	her bare foot talking	under the table
burial prayers	grandson playing hide and seek	behind the stones
between the fireflies	the changing shape of darkness
my father's hammer	warm again	in my hand
under trees and sky	the baby studies	her hands
migrating geese	once there was so much	to say
sound of her voice	carrying eggs	across the ice
moving	with the clock tower's shadow	the flower lady
heart drawn in dust	by the old indian...	rain
whispered dusk	a fox picks its way	across the ice
mist	lifting	the loon's cry
snowman's eye	sinking in	the spring rain
autumn afternoon:	i stand on the shadow	of the sparrow
ten below zero:	man and boy walk through their breath	to read old tombstones
hot wind	the roadrunner's beak	opens and closes
blackbirds descend	through the floaters	in this eye
the old man	closes the shadow	in his hand
spring drizzle	rounding the thorn	a drop of light
horizon	wild swan drifting through	the woman's body
deserted wharf	the mine bows	to the moon
a spider's web	across the windharp	the silence
under the back steps	catfish still flop in the pail	the long august night
horns fold	at my shadow's touch;	brown slug
early april rain	that woman fills every jar,	seals them forever
dead mynah bird...	with each passing car	its wing flaps
picking cotton	the memory	of birdtracks in the snow
old tea bag;	tints the moon	slightly
blackened walnut	left unopened	winter solstice
distant woodchopper	inside the cabin	axbite echoes
the grey cranes at dusk	bending in a line along	the crooked fenceposts
checking for water	the woman finds a full moon	trapped in the cistern
old woman,	rain in the eye	of her needle
the path shorter now,	underfoot the crumbling leaves;	the child runs ahead
cry of the peacock widens the crack in the adobe wall
fields of snow	not only moonlight	but the moon
cold morning sea	an old man towels	himself in the sunlight
fields of corn stretching	as far as the eye can see	within             a lost child
